"Contrast","Management_Treatment","Estimate","SE","Df","t_ratio","p_value"
"XX - SX","control",-1.4,1.128,49,-1.242,0.4348
"XX - SB","control",-3,1.128,49,-2.661,0.0279
"SX - SB","control",-1.6,1.128,49,-1.419,0.3391
"XX - SX","fire",-1.82,1.094,49,-1.663,0.2295
"XX - SB","fire",-3.667,1.029,49,-3.562,0.0024
"SX - SB","fire",-1.847,1.094,49,-1.688,0.22
"XX - SX","herbicide",-1.132,1.096,49,-1.033,0.5601
"XX - SB","herbicide",-2.465,1.096,49,-2.249,0.073
"SX - SB","herbicide",-1.333,1.029,49,-1.295,0.4046
"XX - SX","mow",0.2,1.128,49,0.177,0.9828
"XX - SB","mow",-0.4,1.128,49,-0.355,0.9331
"SX - SB","mow",-0.6,1.128,49,-0.532,0.856
